"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"Tamilnad Mercantile Bank Limited","BE","   510","TMB","05-SEP-2022","07-SEP-2022","Rs.500 to Rs.525","15-SEP-2022"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","05-SEP-2022","22-SEP-2022","Rs.1000","09-APR-2024"
"U Gro Capital Limited","DEBT","-","UGROD3","05-SEP-2022","20-SEP-2022","Rs.1000","-"
"Viviana Power Tech Limited","SME","55","VIVIANA","05-SEP-2022","08-SEP-2022","Rs.55","16-SEP-2022"
"Jay Jalaram Technologies Limited","SME","36","KORE","26-AUG-2022","30-AUG-2022","Rs.36","08-SEP-2022"
"Ameya Precision Engineers Limited","SME","34","AMEYA","25-AUG-2022","30-AUG-2022","Rs.34","08-SEP-2022"
"JFL Life Sciences Limited","SME","61","JFLLIFE","25-AUG-2022","30-AUG-2022","Rs.61","08-SEP-2022"
"Dreamfolks Services Limited","EQ","   326","DREAMFOLKS","24-AUG-2022","26-AUG-2022","Rs.308 to Rs.326","06-SEP-2022"
"Syrma SGS Technology Limited","EQ","   220","SYRMA","12-AUG-2022","18-AUG-2022","Rs.209 to Rs.220","26-AUG-2022"
"Veekayem Fashion and Apparels Limited","SME","28","VEEKAYEM","05-AUG-2022","11-AUG-2022","Rs.28","22-AUG-2022"
"Upsurge Seeds of Agriculture Limited","SME","120","USASEEDS","29-JUL-2022","02-AUG-2022","Rs.120","11-AUG-2022"
"Agni Green Power Limited","SME","10","AGNI","20-JUL-2022","22-JUL-2022","Rs.10","01-AUG-2022"
"SKP Bearing Industries Limited","SME","70","SKP","30-JUN-2022","05-JUL-2022","Rs.70","13-JUL-2022"
"Mangalam Worldwide Limited","SME","101","MWL","30-JUN-2022","04-JUL-2022","Rs.101","11-JUL-2022"
"KCK Industries Limited","SME","30","KCK","27-JUN-2022","30-JUN-2022","Rs.30","08-JUL-2022"
"Fidel Softech Limited","SME","37","FIDEL","30-MAY-2022","02-JUN-2022","Rs.37","10-JUN-2022"
"Aether Industries Limited","EQ","   642","AETHER","24-MAY-2022","26-MAY-2022","Rs.610 to Rs.642","03-JUN-2022"
"Navi Finserv Limited","ND","  1000","NAVIFIN","23-MAY-2022","02-JUN-2022","Rs.1000","18-MAR-2024"
"Globesecure Technologies Limited","SME","29","GSTL","23-MAY-2022","25-MAY-2022","Rs.29","02-JUN-2022"
"eMudhra Limited","EQ","   256","EMUDHRA","20-MAY-2022","24-MAY-2022","Rs.243 to Rs.256","01-JUN-2022"
"Rachana Infrastructure Limited","SME","135","RILINFRA","20-MAY-2022","02-JUN-2022","Rs.135","10-JUN-2022"
"ETHOS Limited","EQ","   878","ETHOSLTD","18-MAY-2022","20-MAY-2022","Rs.836 to Rs.878","30-MAY-2022"
"Paradeep Phosphates Limited","EQ","    42","PARADEEP","17-MAY-2022","19-MAY-2022","Rs.39 to Rs.42","27-MAY-2022"
"Venus Pipes and Tubes Limited","EQ","-","VENUSPIPES","11-MAY-2022","13-MAY-2022","Rs.310 to Rs.326","-"
"Delhivery Limited","EQ","   487","DELHIVERY","11-MAY-2022","13-MAY-2022","Rs.462 to Rs.487","24-MAY-2022"
"Prudent Corporate Advisory Services Limited","EQ","   630","PRUDENT","10-MAY-2022","12-MAY-2022","Rs.595 to Rs.630","20-MAY-2022"
"Life Insurance Corporation of India","EQ","   949","LICI","04-MAY-2022","09-MAY-2022","Rs.902 to Rs.949","17-MAY-2022"
"Sonu Infratech Limited","SME","36","SONUINFRA","29-APR-2022","05-MAY-2022","Rs.36","13-MAY-2022"
"Rainbow Childrens Medicare Limited","EQ","   542","RAINBOW","27-APR-2022","29-APR-2022","Rs.516 to Rs.542","10-MAY-2022"
"Campus Activewear Limited","EQ","   292","CAMPUS","26-APR-2022","28-APR-2022","Rs.278 to Rs.292","09-MAY-2022"
"LE MERITE EXPORTS LIMITED","SME","75","LEMERITE","25-APR-2022","28-APR-2022","Rs.75","09-MAY-2022"
"Dhani Loans and Services Limited","DEBT","-","DLSL05","19-APR-2022","10-MAY-2022","Rs.1000","19-MAY-2022"
"U Gro Capital Limited","DEBT","-","UGROD2","07-APR-2022","28-APR-2022","Rs.1000","-"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","30-MAR-2022","22-APR-2022","Rs.1000","09-APR-2024"
"Hariom Pipe Industries Limited","BE","   153","HARIOMPIPE","30-MAR-2022","05-APR-2022","Rs.144 to Rs.153","13-APR-2022"
"Jeena Sikho Lifecare Limited","SME","150","JSLL","30-MAR-2022","07-APR-2022","Rs.150","19-APR-2022"
"Veranda Learning Solutions Limited","BE","   137","VERANDA","29-MAR-2022","31-MAR-2022","Rs.130 to Rs.137","11-APR-2022"
"UMA Exports Limited","BE","    68","UMAEXPORTS","28-MAR-2022","30-MAR-2022","Rs.65 to Rs.68","07-APR-2022"
"Krishna Defence And Allied Industries Limited","SME","39","KRISHNADEF","25-MAR-2022","29-MAR-2022","Rs.37 to Rs.39","06-APR-2022"
"Ruchi Soya Industries Limited","EQ","-","RUCHISOYA","24-MAR-2022","28-MAR-2022","Rs.615 to Rs.650","-"
"P.E. Analytics Limited","SME","Rs.111 to Rs.114","PROPEQUITY","22-MAR-2022","25-MAR-2022","Rs.111 to Rs.114","-"
"Empyrean Cashews Limited","SME","37","KRISHIVAL","21-MAR-2022","23-MAR-2022","Rs.37","31-MAR-2022"
"Swaraj Suiting Limited","SME","56","SWARAJ","15-MAR-2022","17-MAR-2022","Rs.56","28-MAR-2022"
"KN Agri Resources Limited","SME","75","KNAGRI","15-MAR-2022","17-MAR-2022","Rs.71 to Rs.75","28-MAR-2022"
"Cool Caps Industries Limited","SME","38","COOLCAPS","10-MAR-2022","15-MAR-2022","Rs.36 to Rs.38","24-MAR-2022"
"SP Refractories Limited","SME","90","SPRL","09-MAR-2022","11-MAR-2022","Rs.90","22-MAR-2022"
"Shigan Quantum Technologies Limited","SME","50","SHIGAN","28-FEB-2022","03-MAR-2022","Rs.50","11-MAR-2022"
"Vaidya Sane Ayurved Laboratories Limited","SME","73","MADHAVBAUG","10-FEB-2022","15-FEB-2022","Rs.73","23-FEB-2022"
"Richa Info Systems Limited","SME","125","RICHA","09-FEB-2022","11-FEB-2022","Rs.125","21-FEB-2022"
"Vedant Fashions Limited","EQ","   866","MANYAVAR","04-FEB-2022","08-FEB-2022","Rs.824 to Rs.866","16-FEB-2022"
"Adani Wilmar Limited","EQ","   230","AWL","27-JAN-2022","31-JAN-2022","Rs.218 to Rs.230","08-FEB-2022"
"InCred Financial Services Limited","N7","  1000","INCREDFIN","24-JAN-2022","14-FEB-2022","Rs.1000","06-FEB-2023"
"AGS Transact Technologies Limited","EQ","   175","AGSTRA","19-JAN-2022","21-JAN-2022","Rs.166 to Rs.175","31-JAN-2022"
"Precision Metaliks Limited","SME","51","PRECISION","19-JAN-2022","24-JAN-2022","Rs.51","01-FEB-2022"
"Dhani Loans and Services Limited","Y5","  1000","DHANILOANS","04-JAN-2022","27-JAN-2022","Rs.1000","19-MAY-2022"
"Timescan Logistics (India) Private Limited","SME","Rs.51","TIMESCAN","31-DEC-2021","04-JAN-2022","Rs.51","-"
"AB Cotspin India Limited","SME","Rs.33 to Rs.35","ABCOTS","30-DEC-2021","03-JAN-2022","Rs.33 to Rs.35","-"
"CMS Info Systems Limited","EQ","   216","CMSINFO","21-DEC-2021","23-DEC-2021","Rs.205 to Rs.216","31-DEC-2021"
"Vivo Collaboration Solutions Limited","SME","82","VIVO","20-DEC-2021","23-DEC-2021","Rs.82","31-DEC-2021"
"Supriya Lifescience Limited","EQ","   274","SUPRIYA","16-DEC-2021","20-DEC-2021","Rs.265 to Rs.274","28-DEC-2021"
"HP Adhesives Limited","BE","   274","HPAL","15-DEC-2021","17-DEC-2021","Rs. 262 to Rs.274","27-DEC-2021"
"Data Patterns (India) Limited","EQ","   585","DATAPATTNS","14-DEC-2021","16-DEC-2021","Rs. 555 to Rs.585","24-DEC-2021"
"Euro Panel Products Limited","SME","70","EUROBOND","14-DEC-2021","16-DEC-2021","Rs.70","24-DEC-2021"
"MedPlus Health Services Limited","EQ","   796","MEDPLUS","13-DEC-2021","15-DEC-2021","Rs. 780 to Rs.796","23-DEC-2021"
"Nupur Recyclers Limited","SME","60","NRL","13-DEC-2021","15-DEC-2021","Rs.60","23-DEC-2021"
"Foce India Limited","SME","225","FOCE","13-DEC-2021","17-DEC-2021","Rs.225","28-DEC-2021"
"Metro Brands Limited","EQ","   500","METROBRAND","10-DEC-2021","14-DEC-2021","Rs.485 to Rs.500","22-DEC-2021"
"C.E. Info Systems Limited","EQ","  1033","MAPMYINDIA","09-DEC-2021","13-DEC-2021","Rs.1000 to Rs.1033","21-DEC-2021"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","09-DEC-2021","31-DEC-2021","Rs.1000","09-APR-2024"
"Shriram Properties Limited","EQ","   118","SHRIRAMPPS","08-DEC-2021","10-DEC-2021","Rs.113 to Rs.118","20-DEC-2021"
"IIFL Home Finance Limited","NE","  1000","IIHFL","08-DEC-2021","28-DEC-2021","Rs.1000","05-JAN-2022"
"RateGain Travel Technologies Limited","EQ","   425","RATEGAIN","07-DEC-2021","09-DEC-2021","Rs.405 to Rs.425","17-DEC-2021"
"Anand Rathi Wealth Limited","EQ","   550","ANANDRATHI","02-DEC-2021","06-DEC-2021","Rs.530 to Rs.550","14-DEC-2021"
"Tega Industries Limited","EQ","   453","TEGA","01-DEC-2021","03-DEC-2021","Rs.443 to Rs.453","13-DEC-2021"
"Star Health and Allied Insurance Company Limited","EQ","   900","STARHEALTH","30-NOV-2021","02-DEC-2021","Rs.870 to Rs.900","10-DEC-2021"
"Go Fashion (India) Limited","EQ","   690","GOCOLORS","17-NOV-2021","22-NOV-2021","Rs.655 to Rs.690","30-NOV-2021"
"Tarsons Products Limited","EQ","   662","TARSONS","15-NOV-2021","17-NOV-2021","Rs.635 to Rs.662","26-NOV-2021"
"Latent View Analytics Limited","EQ","   197","LATENTVIEW","10-NOV-2021","12-NOV-2021","Rs.190 to Rs.197","23-NOV-2021"
"Sapphire Foods India Limited","EQ","  1180","SAPPHIRE","09-NOV-2021","11-NOV-2021","Rs.1120 to Rs.1180","18-NOV-2021"
"One 97 Communications Limited","EQ","  2150","PAYTM","08-NOV-2021","10-NOV-2021","Rs.2080 to Rs.2150","18-NOV-2021"
"U Gro Capital Limited","DEBT","-","UGROD1","08-NOV-2021","10-NOV-2021","Rs.1000","-"
"PB Fintech Limited","EQ","   980","POLICYBZR","01-NOV-2021","03-NOV-2021","Rs.940 to Rs.980","15-NOV-2021"
"S J S Enterprises Limited","EQ","-","SJS","01-NOV-2021","03-NOV-2021","Rs.531 to Rs.542","-"
"Sigachi Industries Limited","BE","   163","SIGACHI","01-NOV-2021","03-NOV-2021","Rs.161 to Rs.163","15-NOV-2021"
"FINO Payments Bank Limited","EQ","   577","FINOPB","29-OCT-2021","02-NOV-2021","Rs.560 to Rs.577","12-NOV-2021"
"FSN Ecommerce Ventures Limited","EQ","-","NYKAA","28-OCT-2021","01-NOV-2021","Rs.1085 to Rs.1125","-"
"Nidan Laboratories and Healthcare Limited","SME","125","NIDAN","28-OCT-2021","02-NOV-2021","Rs.125","12-NOV-2021"
"Kotyark Industries Limited","SME","51","KOTYARK","21-OCT-2021","25-OCT-2021","Rs.51","02-NOV-2021"
"D. K. Enterprises Global Limited","SME","Rs.40","DKEGL","07-OCT-2021","12-OCT-2021","Rs.40","-"
"Bombay Metrics Supply Chain Limited","SME","93","BMETRICS","30-SEP-2021","04-OCT-2021","Rs.93","12-OCT-2021"
"Destiny Logistics & Infra Limited","SME","20","DESTINY","30-SEP-2021","05-OCT-2021","Rs.20","13-OCT-2021"
"Dynamic Services & Security Ltd.","SME","Rs.51","DYNAMIC","30-SEP-2021","05-OCT-2021","Rs.51","-"
"Aditya Birla Sun Life AMC Limited","EQ","   712","ABSLAMC","29-SEP-2021","01-OCT-2021","Rs.695 to Rs.712","11-OCT-2021"
"Jainam Ferro Alloys (I) Limited","SME","70","JAINAM","28-SEP-2021","30-SEP-2021","Rs.70","08-OCT-2021"
"IIFL Finance Limited","Y1","  1000","IIFL","27-SEP-2021","08-OCT-2021","Rs.1000","03-JUL-2023"
"JM Financial Products Limited","DEBT","-","JMFPIV","23-SEP-2021","01-OCT-2021","Rs.1000","-"
"Paras Defence and Space Technologies Limited","BE","   175","PARAS","21-SEP-2021","23-SEP-2021","Rs.165 to Rs.175","01-OCT-2021"
"Quadpro ITeS Limited","SME","20","QUADPRO","20-SEP-2021","22-SEP-2021","Rs.20","30-SEP-2021"
"Sansera Engineering Limited","EQ","   744","SANSERA","14-SEP-2021","16-SEP-2021","Rs.734 to Rs.744","24-SEP-2021"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","06-SEP-2021","20-SEP-2021","Rs.1000","09-APR-2024"
"BEW Engineering Limited","SME","58","BEWLTD","02-SEP-2021","07-SEP-2021","Rs.58","16-SEP-2021"
"Ami Organics Limited","EQ","   610","AMIORG","01-SEP-2021","03-SEP-2021","Rs.603 to Rs.610","14-SEP-2021"
"Vijaya Diagnostic Centre Limited","EQ","   531","VIJAYA","01-SEP-2021","03-SEP-2021","Rs.522 to Rs.531","14-SEP-2021"
"DU Digital Technologies Limited","SME","65","DUDIGITAL","12-AUG-2021","17-AUG-2021","Rs 65","26-AUG-2021"
"Chemplast Sanmar Limited","EQ","   541","CHEMPLASTS","10-AUG-2021","12-AUG-2021","Rs.530 to Rs.541","24-AUG-2021"
"Aptus Value Housing Finance India Limited","EQ","   353","APTUS","10-AUG-2021","12-AUG-2021","Rs.346 to Rs.353","24-AUG-2021"
"Nuvoco Vistas Corporation Limited","EQ","   570","NUVOCO","09-AUG-2021","11-AUG-2021","Rs.560 to Rs.570","23-AUG-2021"
"CarTrade Tech Limited","EQ","  1618","CARTRADE","09-AUG-2021","11-AUG-2021","Rs.1585 to Rs.1618","20-AUG-2021"
"Windlas Biotech Limited","EQ","   460","WINDLAS","04-AUG-2021","06-AUG-2021","Rs.448 to Rs.460","16-AUG-2021"
"Krsnaa Diagnostics Limited","EQ","   954","KRSNAA","04-AUG-2021","06-AUG-2021","Rs.933 to Rs.954","16-AUG-2021"
"Devyani International Limited","EQ","    90","DEVYANI","04-AUG-2021","06-AUG-2021","Rs.86 to Rs.90","16-AUG-2021"
"Exxaro Tiles Limited","BE","   120","EXXARO","04-AUG-2021","06-AUG-2021","Rs.118 to Rs.120","16-AUG-2021"
"Rolex Rings Limited","EQ","   900","ROLEXRINGS","28-JUL-2021","30-JUL-2021","Rs.880 to Rs.900","09-AUG-2021"
"Rex Pipes and Cables Industries Limited","SME","26","REXPIPES","28-JUL-2021","02-AUG-2021","Rs 26","10-AUG-2021"
"Network People Services Technologies Limited","SME","80","NPST","28-JUL-2021","02-AUG-2021","Rs 76 to Rs 80","10-AUG-2021"
"Glenmark Life Sciences Limited","EQ","   720","GLS","27-JUL-2021","29-JUL-2021","Rs.695 to Rs.720","06-AUG-2021"
"Tatva Chintan Pharma Chem Limited","EQ","  1083","TATVA","16-JUL-2021","20-JUL-2021","Rs.1073 to Rs.1083","29-JUL-2021"
"Zomato Limited","EQ","    76","ZOMATO","14-JUL-2021","16-JUL-2021","Rs.72 to Rs.76","23-JUL-2021"
"Piramal Capital and Housing Finance Limited","DEBT","-","PCHFRD","12-JUL-2021","19-JUL-2021","Rs.1000","-"
"Clean Science and Technology Limited","EQ","   900","CLEAN","07-JUL-2021","09-JUL-2021","Rs.880 to Rs.900","19-JUL-2021"
"G R Infraprojects Limited","EQ","   837","GRINFRA","07-JUL-2021","09-JUL-2021","Rs.828 to Rs.837","19-JUL-2021"
"IIFL Home Finance Limited","NE","  1000","IIHFL","06-JUL-2021","28-JUL-2021","Rs.1000","05-JAN-2022"
"Walpar Nutritions Limited","SME","55","WALPAR","30-JUN-2021","05-JUL-2021","Rs 55","13-JUL-2021"
"India Pesticides Limited","EQ","   296","IPL","23-JUN-2021","25-JUN-2021","Rs.290 to 296","05-JUL-2021"
"Dodla Dairy Limited","EQ","   428","DODLA","16-JUN-2021","18-JUN-2021","Rs.421 to Rs.428","28-JUN-2021"
"Krishna Institute of Medical Sciences Limited","EQ","   825","KIMS","16-JUN-2021","18-JUN-2021","Rs.815 to Rs.825","28-JUN-2021"
"Shyam Metalics and Energy Limited","EQ","   306","SHYAMMETL","14-JUN-2021","16-JUN-2021","Rs.303 to Rs.306","24-JUN-2021"
"Sona BLW Precision Forgings Limited","EQ","   291","SONACOMS","14-JUN-2021","16-JUN-2021","Rs.285 to Rs.291","24-JUN-2021"
"Abhishek Integrations Limited","SME","50","AILIMITED","08-JUN-2021","11-JUN-2021","Rs 50","21-JUN-2021"
"POWERGRID Infrastructure Investment Trust","IV","   100","PGINVIT","29-APR-2021","03-MAY-2021","Rs 99 to Rs 100","14-MAY-2021"
"India Grid Trust","NF","  1000","INDIGRID","28-APR-2021","30-APR-2021","Rs.1000","10-MAY-2021"
"Macrotech Developers Limited","EQ","   486","LODHA","07-APR-2021","09-APR-2021","Rs.483 to Rs.486","19-APR-2021"
"V-Marc India Limited","SME","Rs 37 to Rs 39","VMARCIND","25-MAR-2021","31-MAR-2021","Rs 37 to Rs 39","-"
"Barbeque-Nation Hospitality Limited","EQ","-","BARBEQUE","24-MAR-2021","26-MAR-2021","Rs.498 to 500","-"
"Siddhika Coatings Limited","SME","57","SIDDHIKA","24-MAR-2021","26-MAR-2021","Rs 57","07-APR-2021"
"Nazara Technologies Limited","EQ","  1101","NAZARA","17-MAR-2021","19-MAR-2021","Rs.1100 to 1101","30-MAR-2021"
"Suryoday Small Finance Bank Limited","EQ","   305","SURYODAY","17-MAR-2021","19-MAR-2021","Rs.303 to 305","26-MAR-2021"
"Kalyan Jewellers India Limited","EQ","    87","KALYANKJIL","16-MAR-2021","18-MAR-2021","Rs.86 to 87","26-MAR-2021"
"Craftsman Automation Limited","EQ","  1490","CRAFTSMAN","15-MAR-2021","17-MAR-2021","Rs.1488 to Rs.1490","25-MAR-2021"
"Laxmi Organic Industries Limited","EQ","   130","LXCHEM","15-MAR-2021","17-MAR-2021","Rs.129 to Rs.130","25-MAR-2021"
"Anupam Rasayan India Limited","W1","   236","ANURAS","12-MAR-2021","16-MAR-2021","Rs.553 to Rs.555","10-MAY-2024"
"Easy Trip Planners Limited","EQ","   187","EASEMYTRIP","08-MAR-2021","10-MAR-2021","Rs.186 to Rs.187","19-MAR-2021"
"MTAR Technologies Limited","EQ","   575","MTARTECH","03-MAR-2021","05-MAR-2021","Rs.574 to Rs.575","15-MAR-2021"
"IIFL Finance Limited","Y1","  1000","IIFL","03-MAR-2021","18-MAR-2021","Rs.1000","03-JUL-2023"
"Pavna Industries Limited","SME","165","PAVNAIND","24-FEB-2021","01-MAR-2021","165","09-MAR-2021"
"Heranba Industries Limited","EQ","   627","HERANBA","23-FEB-2021","25-FEB-2021","Rs.626 to Rs.627","05-MAR-2021"
"Party Cruisers Limited","SME","51","PARTYCRUS","22-FEB-2021","25-FEB-2021","51","05-MAR-2021"
"RailTel Corporation of India Limited","EQ","    94","RAILTEL","16-FEB-2021","18-FEB-2021","Rs.93 to Rs.94","26-FEB-2021"
"Nureca Limited","BE","   400","NURECA","15-FEB-2021","17-FEB-2021","Rs.396 to Rs.400","25-FEB-2021"
"Brookfield India Real Estate Trust","RR","   275","BIRET","03-FEB-2021","05-FEB-2021","Rs 274 to Rs 275","16-FEB-2021"
"Stove Kraft Limited","EQ","   385","STOVEKRAFT","25-JAN-2021","28-JAN-2021","Rs.384 to Rs.385","05-FEB-2021"
"Home First Finance Company India Limited","EQ","   518","HOMEFIRST","21-JAN-2021","25-JAN-2021","Rs.517 to Rs.518","03-FEB-2021"
"Indigo Paints Limited","EQ","  1490","INDIGOPNTS","20-JAN-2021","22-JAN-2021","Rs.1488 to Rs.1490","02-FEB-2021"
"Indian Railway Finance Corporation Limited","NS","######","IRFC","18-JAN-2021","20-JAN-2021","Rs.25 to Rs.26","20-MAR-2024"
"Antony Waste Handling Cell Limited","EQ","   315","AWHCL","21-DEC-2020","23-DEC-2020","Rs.313 to Rs.315","01-JAN-2021"
"Mrs. Bectors Food Specialities Limited","EQ","   288","BECTORFOOD","15-DEC-2020","17-DEC-2020","Rs.286 to Rs.288","24-DEC-2020"
"Burger King India Limited","EQ","    60","BURGERKING","02-DEC-2020","04-DEC-2020","Rs.59 to Rs.60","14-DEC-2020"
"Gland Pharma Limited","EQ","  1500","GLAND","09-NOV-2020","11-NOV-2020","Rs.1490 to Rs.1500","20-NOV-2020"
"Equitas Small Finance Bank Limited","EQ","    33","EQUITASBNK","20-OCT-2020","22-OCT-2020","Rs.32 to Rs.33","02-NOV-2020"
"Bodhi Tree Multimedia Limited","SME","95","BTML","09-OCT-2020","13-OCT-2020","95","21-OCT-2020"
"AAA Technologies Limited","SME","72","AAATECH","30-SEP-2020","05-OCT-2020","42","28-NOV-2022"
"Atal Realtech Limited","SME","72","ATALREAL","30-SEP-2020","07-OCT-2020","72","15-OCT-2020"
"UTI Asset Management Company Limited","EQ","   554","UTIAMC","29-SEP-2020","01-OCT-2020","Rs.552 to Rs.554","12-OCT-2020"
"Mazagon Dock Shipbuilders Limited","EQ","   145","MAZDOCK","29-SEP-2020","01-OCT-2020","Rs.135 to Rs.145","12-OCT-2020"
"Likhitha Infrastructure Limited","BE","   120","LIKHITHA","29-SEP-2020","07-OCT-2020","Rs.116 to Rs.120","15-OCT-2020"
"Sigma Solve Limited","SME","295","SIGMA","29-SEP-2020","09-OCT-2020","45","09-JUN-2023"
"Angel Broking Limited","EQ","   306","ANGELBRKG","22-SEP-2020","24-SEP-2020","Rs.305 to Rs.306","05-OCT-2020"
"Chemcon Speciality Chemicals Limited","EQ","   340","CHEMCON","21-SEP-2020","23-SEP-2020","Rs.338 to Rs.340","01-OCT-2020"
"Computer Age Management Services Limited","EQ","  1240","CAMS","21-SEP-2020","23-SEP-2020","Rs.1229 to Rs.1230","07-MAY-2021"
"Route Mobile Limited","EQ","   350","ROUTE","09-SEP-2020","11-SEP-2020","Rs.345 to Rs.350","21-SEP-2020"
"Happiest Minds Technologies Limited","EQ","   166","HAPPSTMNDS","07-SEP-2020","09-SEP-2020","Rs.165 to Rs.166","17-SEP-2020"
"Mindspace Business Parks REIT","RR","   275","MINDSPACE","27-JUL-2020","29-JUL-2020","Rs 274 to Rs 275","07-AUG-2020"
"Yes Bank Limited - FPO","EQ","-","YESBANK","15-JUL-2020","17-JUL-2020","Rs.12 to Rs.13","-"
"Rossari Biotech Limited","EQ","   425","ROSSARI","13-JUL-2020","15-JUL-2020","Rs.423 to Rs.425","23-JUL-2020"
"Ksolves India Limited","SME","406","KSOLVES","23-JUN-2020","26-JUN-2020","100","23-SEP-2022"
"Laxmi Goldorna House Limited","SME","135","LGHL","20-MAR-2020","03-APR-2020","15","10-NOV-2023"
"Antony Waste Handling Cell Limited - Issue Withdrawn","EQ","-","AWHCL","04-MAR-2020","16-MAR-2020","Rs.294 to Rs.300","-"
"SBI Cards and Payment Services Limited","EQ","   755","SBICARD","02-MAR-2020","05-MAR-2020","Rs.750 to Rs.755","16-MAR-2020"
"Madhav Copper Limited","SME","70","MCL","27-JAN-2020","30-JAN-2020","Rs 100 to Rs 102","19-AUG-2020"
"ITI Limited FPO - Issue Withdrawn","EQ","-","ITI","24-JAN-2020","05-FEB-2020","Rs.72 to Rs.77","-"
"Hindprakash Industries Limited","SME","40","HPIL","15-JAN-2020","17-JAN-2020","40","27-JAN-2020"
"Tata Capital Housing Finance Limited","NG","######","805TCHFL29","07-JAN-2020","08-JAN-2020","Rs.1000","20-JUN-2024"
"Shriram Transport Finance Company Limited","DEBT","-","SNCD9T2","06-JAN-2020","22-JAN-2020","Rs.1000","-"
"Vaxtex Cotfab Limited","SME","24","VCL","27-DEC-2019","03-JAN-2020","24","13-JAN-2020"
"Prince Pipes and Fittings Limited","EQ","   178","PRINCEPIPE","18-DEC-2019","20-DEC-2019","Rs.177 to Rs.178","30-DEC-2019"
"L&T Finance Limited","Y4","  1000","L&TFINANCE","16-DEC-2019","17-DEC-2019","Rs.1000","26-DEC-2019"
"DC Infotech and Communication Limited","SME","45","DCI","12-DEC-2019","18-DEC-2019","45","27-DEC-2019"
"Ujjivan Small Finance Bank Limited","EQ","    37","UJJIVANSFB","02-DEC-2019","04-DEC-2019","Rs.36 to Rs.37","12-DEC-2019"
"Ascom Leasing & Investments Limited","SME","30","ASCOM","26-NOV-2019","28-NOV-2019","30","-"
"CSB Bank Limited","EQ","   195","CSBBANK","22-NOV-2019","26-NOV-2019","Rs.193 to Rs.195","04-DEC-2019"
"Mangalam Global Enterprise Limited","SME","41","MGEL","15-NOV-2019","20-NOV-2019","51","23-DEC-2020"
"Indian Railway Catering and Tourism Corporation Limited","EQ","   320","IRCTC","30-SEP-2019","03-OCT-2019","Rs.315 to Rs.320","14-OCT-2019"
"Vishwaraj Sugar Industries Limited","BE","    60","VISHWARAJ","30-SEP-2019","04-OCT-2019","Rs.55 to Rs.60","15-OCT-2019"
"Sona Hi Sona Jewellers (Gujarat) Limited","SME","10","SONAHISONA","30-SEP-2019","04-OCT-2019","10","-"
"Shiv Aum Steels Limited","SME","44","SHIVAUM","19-SEP-2019","23-SEP-2019","44","-"
"Salasar Exteriors And Contour Limited","SME","36","SECL","28-AUG-2019","03-SEP-2019","36","12-SEP-2019"
"Tata Capital Financial Services Ltd","DEBT","-","TCFNCD2","13-AUG-2019","20-AUG-2019","Rs.1000","-"
"Sterling & Wilson Solar Limited","EQ","-","SWSL","06-AUG-2019","08-AUG-2019","Rs.775 to Rs.780","-"
"India Infoline Finance Limited","NL","  1000","IIFLFIN","06-AUG-2019","30-AUG-2019","Rs.1000","09-SEP-2019"
"Spandana Sphoorty Financial Limited","EQ","   856","SPANDANA","05-AUG-2019","07-AUG-2019","Rs.853 to Rs.856","19-AUG-2019"
"Indiabulls Consumer Finance Limited","NM","  1000","ICFL","31-JUL-2019","30-AUG-2019","Rs.1000","11-SEP-2019"
"Affle India Limited","EQ","-","AFFLE","29-JUL-2019","31-JUL-2019","Rs.740 to Rs.745","-"
"Wonder Fibromats Limited","SME","89","WFL","22-JUL-2019","29-JUL-2019","90","06-AUG-2019"
"Shriram Transport Finance Company Limited","ZB","  1000","SRTRANSFIN","17-JUL-2019","16-AUG-2019","Rs.1000","26-AUG-2019"
"K.P.R. Agrochem Limited","EQ","-","KPRAGRO","28-JUN-2019","02-JUL-2019","Rs 59 to Rs 61","-"
"AB Infrabuild Limited","SME","29","ABINFRA","28-JUN-2019","03-JUL-2019","29","-"
"IndiaMART InterMESH Limited","EQ","   973","INDIAMART","24-JUN-2019","26-JUN-2019","Rs 970 to Rs 973","04-JUL-2019"
"Alumilite Architecturals Limited","SME","30","ALUMILITE","24-JUN-2019","28-JUN-2019","30","-"
"Sudarshan Pharma Industries Limited","SME","72","SUDARSHAN","12-JUN-2019","21-JUN-2019","72","-"
"Indiabulls Consumer Finance Limited","NM","  1000","ICFL","30-MAY-2019","21-JUN-2019","Rs 1000","11-SEP-2019"
"Par Drugs and Chemicals Limited","SME","124","PAR","03-MAY-2019","08-MAY-2019","51","16-SEP-2021"
"Neogen Chemicals Limited","BE","   215","NEOGEN","24-APR-2019","26-APR-2019","Rs 212 to Rs 215","08-MAY-2019"
"Magma Fincorp Limited","N7","  1000","MAGMA","08-APR-2019","30-APR-2019","Rs.1000","09-MAY-2019"
"L&T Finance Limited","Y4","  1000","L&TFINANCE","08-APR-2019","09-APR-2019","Rs.1000","26-DEC-2019"
